チャンネル名	クラス		テキスト
kaden-channel	1		恋愛禁止に疑問！　AKBメンバーが「恋愛したらほぼ失職ってすごいな」とGoogle＋でコメント
kaden-channel	1		年末商戦大ピンチ！タイの大洪水でHDDの価格高騰、品不足の恐れ
it-life-hack	0		ウィンドウを閉じずにデスクトップのアイコンを操作するマル秘ワザ
it-life-hack	0		揃いの色や柄、オリジナルプリントで一体感！ポロシャツのプロが運営するユニフォームタウン
kaden-channel	1		露出を理解してクリエイティブな写真を撮る！プロのテクに近づく露出を学ぶ
kaden-channel	1		次世代PSなのか!? 部屋と一体になる映像システムのコンセプト映像公開—ソニー
it-life-hack	0		現実的では無い！孫社長 Twitter読者の発言に反論
kaden-channel	1		「老後どうすんの？」さんまの質問にメッシが激怒！　テレビが凍りついた瞬間
it-life-hack	0		ドデカクーラー登場！　ZALMANより6本ヒートパイプの巨大CPUクーラー
it-life-hack	0		米テレビ番組がiPhone工場に潜入！
kaden-channel	1		ブラックマジックデザイン、Thunderbolt対応のIntensity Shuttleを発売
it-life-hack	0		Facebook使いこなしも指南！ Office系ネットサービスの使い方まで使い方指南
kaden-channel	1		アートをもっと楽しむ！　キース・へリング展にARが採用される
kaden-channel	1		アウトドア＆モバイル移動放送局
kaden-channel	1		パナソニックが節電指南！「エコナビ」イベントで家電のムダと節電のヒントを紹介
it-life-hack	0		ダウンロード版ゲームはお得に購入できるのか？ 新たに始まった任天堂のダウンロード版ゲーム
it-life-hack	0		アナタはもう見た金環食？　あいにくの天気だった人はネットで楽しもう！
it-life-hack	0		安価に作るマルチディスプレイ環境　独自拡張のグラボ「「FLEX HD7770 GHZ EDITION」
kaden-channel	1		ロボットに洗ってもらってリフレッシュ！　パナソニックが洗髪などを行える「ヘッドケアロボット」の試用運用を開始
it-life-hack	0		ガジェット使い方新提案！　小技の効いたハイテク家電使いこなし術
kaden-channel	1		クリスマスはテレビを見よう！　２３日はNHKスペシャル「世界を変えた男 スティーブ・ジョブズ」が放送に
it-life-hack	0		残暑見舞い挨拶の簡単挿入や書式の再利用　文書をカッコ良く効率的に作るWordの小技集
kaden-channel	1		かわいい姿に怒れない！ねこ界のブーム「ごめん寝」はネットでも話題に
it-life-hack	0		これは商品化して欲しい！　テニプリベースのイヤホンジャックカバー
kaden-channel	1		電気自動車に大注目！　イオンも参入し、充電サービスなどを積極化
it-life-hack	0		スマホのゲームに毎月いくら課金してる？　年代やOS別の調査結果発表
kaden-channel	1		2012年4月1日までモバイルルータが0円になる特典実施中！—BIGLOBE 3Gで低料金スマホ＆モバイル通信
kaden-channel	1		起用の理由は黄色だったから!?　ダンディ坂野がクイズアプリ「AD Latte」のキャラクターに就任！
kaden-channel	1		気を付けて！　道や駅で増える「ケータイ事故」
it-life-hack	0		町会議ラス前開催は福島県！　ニコニコ町会議in 福島県三春町の詳細決定
kaden-channel	1		フレッシュな野菜ジュースを朝食に！容器がタンブラーになる手間なしジューサー
it-life-hack	0		デスクトップ代わりに使える低価格ノート　レノボのIdeaPad Z480はIvy Bridege搭載
it-life-hack	0		入手困難なDVDドライブが絶対当たる！ ZENBOOKを買うと絶対もらえるキャンペーン開始
it-life-hack	0		参加した人も、不参加の人もチャンスがある！Ultrabooker.jpブースも登場したインテルイベント
kaden-channel	1		ベッカム様がグーグル＋に登場！　バラエティ向きの彼はどこまで答えてくれるのか？
kaden-channel	1		脚の生えたエアカウンター!?　—日本トラストテクノロジーのスパイダーポディウム
it-life-hack	0		自分の顔で画面ロックを解除！ドコモ、GALAXY S IIにAndroid 4.0を提供
kaden-channel	1		シャープ、チューナー分離の薄型テレビ「フリースタイル　アクオス」発表
it-life-hack	0		竜の巣？ 　これが…？　富士山上空を覆う巨大雲が話題に
kaden-channel	1		パナソニック マッサージソファとインテリアのコンランがコラボ
it-life-hack	0		新しいiPadでわかったLTE 新サービス開始当初の混乱期
it-life-hack	0		Kepler搭載製品が登場！MSIやZOTACよりNVIDIA GeForce GTX 680カード
it-life-hack	0		スマホに関する疑問に答えます！ PC使い故のスマホへの疑問を解決
it-life-hack	0		本日深夜販売敢行！　例のアレか？　本日ドスパラパーツ館で深夜販売！
kaden-channel	1		男子必見！　今すぐまねしたいファッションコーデを映像で学ぶ
kaden-channel	1		節電対策や停電への備えに、ソニーが家庭用蓄電池を新発売
it-life-hack	0		大切な投稿を見逃さない　Facebookに親友の投稿だけを表示する
it-life-hack	0		おはこん、ふぉっくす紺子です！紺子グッズ第二段も進んでるよ
kaden-channel	1		イルミネーションも景色もバッチリ！　難しいと思っていた夜景撮影に挑戦
it-life-hack	0		納得！そういうことか！Googleロゴにファスナーが付いてる理由
it-life-hack	0		こんこん、ふぉっくす紺子だよ！ミニうちわも企画中だよ
kaden-channel	1		フェイスブックで重婚発覚！　別居中の妻が旦那の新しい嫁を発見
kaden-channel	1		値下げも好評の動画配信サービスHulu！　新オフィスを訪問してきました
kaden-channel	1		ミクシィで堂々と覚せい剤が売られていた！「元祖！シャブコミュ」管理人は元東京・新宿区議
it-life-hack	0		ウェディング雑誌に凄い付録！　「ゼクシィ」9月号の付録は「乙女すぎるドライバーセット」
it-life-hack	0		検索力をアップ！　IE9に好みのエンジンを追加する
it-life-hack	0		23カ国のiTunesランキングを動画でチェック！
it-life-hack	0		iPhone動画のムダをトリミングして飽きさせない
kaden-channel	1		コンパスを使うのは年に１度？　iPhoneで一番不要な機能とは
it-life-hack	0		アノなめこがiPhoneカバーになった！　「おさわり探偵 なめこ栽培キット」のiPhoneカバー登場！
it-life-hack	0		これが次世代スマートフォン！ドコモ「Xperia acro HD SO-03D」開封レポート
it-life-hack	0		MSIより低価格マザー登場！　Ivy Bridge対応のIntel 7シリーズ激安マザー
kaden-channel	1		恐怖！　GPSを利用した勤怠管理アプリ「GPS Punch!」登場に営業マン衝撃
it-life-hack	0		不便なブックマークよさよなら！　俺はライフリストでブクマを管理するぜ！
it-life-hack	0		音声認識で英語の発音練習しよう Siriを使うiPhoneアプリReal英会話
kaden-channel	1		企業戦士の鎧を脱いだら光の戦士になろう！　スター・ウォーズ ライトセーバールームライト
kaden-channel	1		日本版HuluはHuluにしてHuluにあらず？
it-life-hack	0		コストはどっちに軍配？　書籍の長期保存は紙？　それともデジタル？ 
it-life-hack	0		テレビの高画質化は誰のため？コンテンツが性能に追いつかない
it-life-hack	0		なるほどジ○リめしって言うのか！　あのオムライスは王蟲ライスだったのね！
kaden-channel	1		Twitterでの炎上防止へ　−　承認が下りないとつぶやけないシステムがあった【話題】　
it-life-hack	0		自分のIQを知りたくありませんか？　そんなときは「IQチェック2」がオススメ
kaden-channel	1		EOS-1D XでEOS MOVIEは第2章突入か？
it-life-hack	0		起動を高速化！　いらないアプリはスタートアップから外す
it-life-hack	0		ネットサービスの解約問題からLinuxでのクラウド使いこなしまで一気読み
kaden-channel	1		2台目・3台目のテレビとしておススメ！恵安の超薄型地デジ対応液晶テレビ
kaden-channel	1		Twitterのつぶやきでおしりをふいてみる？　おもしろサービス「shitter」
kaden-channel	1		年末年始はフジテレビが大騒ぎ！　ものまね問題に続き、元日は収録映像を生と放送疑惑
kaden-channel	1		カーナビの次は自転車！　パナソニックの「Gorilla CN-MC01L」は自転車ナビ対応
it-life-hack	0		これなら作ってみたくなる！質感の高いHTPC向けケースが登場！
it-life-hack	0		一風変わった動きが新鮮！ブロック系ゲームStar＊Burst 
kaden-channel	1		旅にこだわりたい若者から人気！　ネットで世界中の宿やツアーを探せば夏の旅行にまだ間に合う！
it-life-hack	0		間違えてコメントしちゃった！をないことにするFacebookワザ
kaden-channel	1		高性能な高品位ボディ！　パナソニックがフラットタイプミラーレス一眼「ＬＵＭＩＸ　ＤＭＣ−ＧＸ１」を発売
it-life-hack	0		レノボWindows 8タブレットを公開 詳細は不明ながらThinkPad同様に企業向け
it-life-hack	0		24日はアキバへGo！Ultrabooker.jp専用ブースでオリジナルグッズを当てよう
it-life-hack	0		第三弾間もなく開始！ Sapphire製グラボ購入キャンペーン第二弾終了間近につき
it-life-hack	0		Androidを狙うウイルスが急増！スマホに迫る悪質なアプリ 
it-life-hack	0		できないことができる！？通常では解消できない断片化を解消してくれる「PageDefrag」
it-life-hack	0		ドコモのスマホに強い味方！ドコモ AQUOS PHONE SH-01D対応大容量バッテリー
it-life-hack	0		パソコンとテレビが合体した製品！NECの技術を盛り込んだ、レノボの新PCが凄い
it-life-hack	0		NFCがバイクの鍵に？ COMPTEX TAIPEIで見つけた面白ガジェット
it-life-hack	0		ターガス製のUSB3.0ポートリプリケータ登場！　レビューアーになれば無償でゲット
kaden-channel	1		伸びるスマホとタブレット！　家電とＩＴ市場の上半期を振り返る
it-life-hack	0		金環日食から切り込み隊長まで！　ネットの話題を振り返る
it-life-hack	0		例のあのメニューも！ニコニコ超会議のフードコートメニュー14種類紹介（前半）
it-life-hack	0		細かな違いや使用感がわかる！ありそうでなかった白髪染め体験記サイト
kaden-channel	1		見るのがコワイ！でも知りたい！！未来のボディラインを映し出すワコールのアプリ「ラブエイジングミラー」
kaden-channel	1		テストレポート フジフイルムX10
it-life-hack	0		よく使うファイルを高速に呼び出す　タスクバーカスタマイズ術
kaden-channel	1		毎日新聞が正月ボケ！　「北朝鮮」を「北挑戦」に、「年度代表馬」を「年度代表場」に
kaden-channel	1		感覚・体験を共有する　タッチ・インターネットが拓く未来（１）
it-life-hack	0		ソーシャルの今が分かる！ヤフーの「話題なう」ってなに？
kaden-channel	1		シャッターを次々に押せる軽快なコンパクトデジカメ！カシオ「EXILIM EX-ZR200」
kaden-channel	1		エコ家電は地球の裏でも興味津々！　ブラジルで開催の地球サミットにて出展中のパナソニックを直撃！
it-life-hack	0		本当に稼動するのですね。凄い！孫社長 メガソーラーの状況を報告
it-life-hack	0		春分の日のトリビア！Googleロゴがイラストである理由
kaden-channel	1		TVF2012の入賞30作品が決定
kaden-channel	1		タテとヨコ、引きと寄りで最高の１枚を！いつもの写真をワンランクアップしてかわいい写真を撮る方法
it-life-hack	0		知って得する虎の巻テクニック集！スマホやパソコンを便利に使おう
it-life-hack	0		まだスーパーマルチなアナタに！　薄型のポータブルBDドライブが登場
kaden-channel	1		ソニーNEX-VG20でCEATECを取材する
it-life-hack	0		子供の一瞬の表情も逃さない！「EX-ZR300」開封レポート
it-life-hack	0		スマホの音楽をお風呂場で聴く技！iPhoneで使える無線防水スピーカ
it-life-hack	0		総勢20名を大募集！「feel Windows」オープン記念第一弾のレビューアー募集中
it-life-hack	0		世界を選んだ写真家たち！RING CUBE写真展「OVERSEAS 2012」を開催
it-life-hack	0		ガラスのUltrabook登場！美麗なUltrabook「HP ENVY14-3000 SPECTRE」のレビューアー募集
kaden-channel	1		３つのポイントでオシャレな写真を撮ろう！　モノクロのすすめ
it-life-hack	0		高画質と小型・軽量化を両立！キヤノンのミラーレス一眼「EOS M」を見てきました
kaden-channel	1		「かわいく撮って」と小林星蘭ちゃんにお願いされたのでSONY一押しのハンディカムで撮ってきました！
it-life-hack	0		日本も捨てたもんじゃないですね！孫社長 自然エネの普及活動を強調
it-life-hack	0		見積書や企画書を移動中にチェック！　GoogleドライブにAndroidからアクセス
kaden-channel	1		ついにiOS版もリリース！無料で読める暇つぶしアプリlivedoorニュース「三面貴族」
it-life-hack	0		日本・香港・欧米の3カ国の違いを堪能！「OVERSEAS 2012」世界を選んだ写真家たちの写真展
it-life-hack	0		ハイビジョン録画時代のビデオカセット計画！奥さんに趣味の番組を消されない裏技
kaden-channel	1		クリスマス撮ってきましたー！やっぱり夜景はスマホより小さいのにキレイに撮れる“サイバーショット”がイイネ
kaden-channel	1		新しいものさしになる？　ツイッターで好感度があがる芸能人と下がる芸能人
kaden-channel	1		iPhoneに高く、Androidに低い「キャリアのカベ」
it-life-hack	0		超コンパクトで充電ケーブルいらず！わずか92gのモバイルバッテリー
it-life-hack	0		CPUもGPUも祭だワッショイ！GIGABYTE板祭でマザボ＆グラボのレビューアーを大募集
it-life-hack	0		スマホが使える時間をのばす裏技！激安のモバイル大容量バッテリー
kaden-channel	1		サンワサプライ、半径５ｍ内の音声を集音できる高感度マイク採用のＷＥＢ会議マイクを発売
it-life-hack	0		意外と知らないExcel技を紹介！ 他人と差をつけるExcel技特集
kaden-channel	1		パーティを楽しむはずがテロリストと勘違い「デストローイ！（破壊）」のつぶやきで逮捕されたイギリス人
it-life-hack	0		最新スマホに最強兵器が登場！ソフトバンク AQUOS PHONE 103SH対応大容量バッテリー
it-life-hack	0		本日はプレイ不可なロゴ！　Googleロゴがスポーツ関連画像に変化第十二弾
kaden-channel	1		「Yahoo! Phone」がいよいよ２３日に発売スタート
kaden-channel	1		視聴者の感覚とズレズレ！　声だけ出演の映画も公開決定で紳助復帰の気配？
it-life-hack	0		ようやくiPhoneでもChromeが使えるように！
it-life-hack	0		ニコニコ超会議で気になった小ネタを写真で紹介
kaden-channel	1		99のパターンから最適な撮影モードをチョイス！　富士フィルムの「FinePix」に新商品登場
it-life-hack	0		無職ランナーをオリンピックへ！　プレアカ1か月分でスポンサーになれる
it-life-hack	0		人気の音ゲーここにあり！ 上手にリズムを刻む心地さがここに「jubeat plus」
kaden-channel	1		パナソニックの「旅ナビ」に新モデル登場！「CN-MH01L」はガイドブックデータが充実
it-life-hack	0		関西エリアが予感させる、「auスマートバリュー」の破壊力と可能性
kaden-channel	1		2012年はどうなる？タイの大洪水の影響が長引きパソコン出荷台数が減少か
kaden-channel	1		シャープの独自OS端末ガラパゴスが発売終了
kaden-channel	1		NHKがネットテレビ参入はテレビ離れを食い止められるのか？
it-life-hack	0		孫社長が社内業務紙ゼロ宣言 ペーパーレスの真の目的とは
it-life-hack	0		ご当地アプリがiPhoneカバーに！　登場！ぐんまのやぼう ＆ にほんのあらそい iPhoneカバー
kaden-channel	1		原発事故は本当に収束？　気になるホットスポットがひと目でわかる—東芝ポータブルガンマカメラ
it-life-hack	0		話題のタブレット端末に強い味方！ドコモ ARROWS Tab LTE F-01D本革マルチポーチケース
kaden-channel	1		ワイドショーを見る親が子どもの学力を下げている？　子ども社会に広がる学力格差
it-life-hack	0		書式を再利用　手間を省いて見栄えを整えるWordワザ
kaden-channel	1		３DSが売れない！任天堂が初の赤字か
kaden-channel	1		映画表現育成協会主催 プロモーションビデオ制作講座、受講生募集
kaden-channel	1		５分で初見の英文２３００文字を正確にタイプ！　パソコン入力で全国一は中学３年生
kaden-channel	1		忘年会・クリスマスパーティで盛り上がりそう！タカラトミーアーツからうまい棒スライサー発売
kaden-channel	1		連載●極・ト書き一行のカット割り!　　　　　 第6回
kaden-channel	1		様々なデバイスでドラマや映画をシームレスに動画を視聴できるHulu
kaden-channel	1		第9回上映 中平悠里 監督作品 『猫と少女の物語』
it-life-hack	0		ゲームセンターの楽しさを手のひらに！Air Hockey : Extreme Fun
it-life-hack	0		笹食ってる場合じゃねぇ！孫社長 イベントの講演を宣伝
it-life-hack	0		エイプリールフールでもうそはつきません！ITの一週間を振り返る
it-life-hack	0		GALAXY TabもiPadも家電も充電できる！万能高容量ポータブルバッテリー
kaden-channel	1		２０１２年！気になる運勢をエガちゃんが占ってくれるアプリはいかが？
kaden-channel	1		挑戦! 3D編集 3D作品をYouTube公開
it-life-hack	0		アナタは見た？今世紀最後の天体ショー！金星の太陽面通過
it-life-hack	0		ユーザーとメーカーとの橋渡し！大盛況だったUltrabooker.jpブース
kaden-channel	1		マーク・ザッカーバーグがFacebookに訴えられる！？
kaden-channel	1		姉さん事件です！　裁判中の美元が二股だったことをテレビでぽろり
kaden-channel	1		ソニーNXCAMのファームアップ情報
kaden-channel	1		AmazonがシアトルにKindleストアをオープン！　電子書籍に興味がなかった人にどこまで響くか？
it-life-hack	0		ペットロボットの状態は？　これからどうなる？ 不定期連載スマートペット育成記
it-life-hack	0		2ヶ月で全国を走り抜けた写真！若さを行動で表現して魂を繋ぐ
kaden-channel	1		ツイッターやフェイスブックの利用が負担に！　「ソーシャル疲れ」から見る日本人の微妙な人間関係
kaden-channel	1		自宅で究極のコーヒー体験を！　ネスレネスプレッソ、シンプルで最新機能搭載の新コーヒーメーカー「Ｕ（ユー）」を発売
kaden-channel	1		真似しちゃダメ！　金属を回しながら壊れていくかわいそうな洗濯機がネットで話題に
kaden-channel	1		音の編集講座「音量の合わせ方」
it-life-hack	0		タスクバーに不要なアイコン通知は表示しない
it-life-hack	0		Macの隠し機能を使うアプリ！長寿命の無線マウスから最新PCまで一挙紹介
kaden-channel	1		連載●極・ト書き一行のカット割り! 第7回
kaden-channel	1		ホンダが次世代電動スモールスポーツコンセプトモデル「EV-STER」を披露
kaden-channel	1		子どもの歯磨き仕上げも電動で！ポケットドルツにキッズ用が登場
kaden-channel	1		夏場は扇風機になるダイソン羽根なしヒーター！
it-life-hack	0		個人スポンサー2万人達成！ロンドン五輪マラソン代表選手の藤原新選手
it-life-hack	0		レガシーポート搭載マザー！ECSよりAtom搭載Mini-ITXマザーボード
kaden-channel	1		地デジ化をきっかけに、テレビ離れが増加？
it-life-hack	0		日本を思う気持ちがあると思えない！孫社長 大人の対応がネットで話題
kaden-channel	1		連載●After Effects 天国への階段 第12回
it-life-hack	0		オリンピック最終日ロゴは閉会式！　Googleロゴがスポーツ関連画像に変化第十三弾
kaden-channel	1		世界最大の家電ショーから見る！　すべての家電が小さなチップで考え、通信するサイバーな未来
kaden-channel	1		夏までにダイエット！オムロンからPCやスマホにデータ転送できるカラダスキャン新発売
it-life-hack	0		インテル吉田社長の自作PCをパワーアップ！“超”社長PCを作ってみた
kaden-channel	1		一度は働いてみたい？　グーグル社のとにかくおしゃれなロンドンオフィスが話題に【話題】　
it-life-hack	0		スマホ持ちで有線なアナタに！無線LAN親機になる超小型アダプター
it-life-hack	0		ウルトラブックとは一体何なのか？パソコン市場は縮小するのか
it-life-hack	0		タスクマネージャーよさらば！　プロセスが手に取るようにわかる「Process Explorer」
it-life-hack	0		最新の標的型攻撃メールに注意せよ 
it-life-hack	0		コンプガチャ廃止決定！　結局は堂々巡り？　今後一体どうなる？
kaden-channel	1		スマホの似合う著名人、トップはスマホそのもの（？）な渡辺謙
it-life-hack	0		これからお花見の人は気を付けて！　春の宴のあとのあまりの酷さに唖然
it-life-hack	0		iPhoneにぴったりフィットのケース登場！シリコン素材で帯電防止機能も持つiPhone 4S/4用ケース
kaden-channel	1		ギミックなしの実力派！ 空気清浄機 ブルーエア 270E
it-life-hack	0		レノボ、プロゴルファーの斉藤愛璃選手とオフィシャル・スポンサーシップ契約を締結
it-life-hack	0		ドコモのスマホに強い味方！ドコモ MEDIAS PP N-01D用大容量バッテリー
kaden-channel	1		失った視力を取り戻す、光駆動の網膜インプラント
it-life-hack	0		売れ筋モデルがさらにコンパクトに　EPSONより2012年インクジェット新モデル登場
kaden-channel	1		お前が言うな！　「AKB商法気持ち悪い」と炎上のエイベックス社員にネットが総突っ込み
it-life-hack	0		コンデジでも星の軌跡が撮れるGR IVインターバル合成撮影の秘密！「都会の星」トークショー
it-life-hack	0		高性能で低消費電力！インテル吉田社長が語る、IVY Bridgeの魅力
kaden-channel	1		コンビニでも！　セブン＆アイで無料Wi-Fiサービス開始。　AKBのオリジナル壁紙も配布
kaden-channel	1		広告の落ち込みが原因　人気SNSミクシィが業績予想を下方修正
it-life-hack	0		普通の中学で学んだ程度でした！孫社長が明かした若き日の英語力
it-life-hack	0		違法ダウンロード刑罰化の次は通信の秘密に踏み込む音楽権利団体
kaden-channel	1		ニコニコ動画、生中継用エンコーダーや画質向上など 新サービスを続々発表
kaden-channel	1		猛暑でダメージを受けた肌に！ヤーマンから温冷ケア美顔機新発売
kaden-channel	1		この秋、ブルーレイディスクプレーヤーの新製品はソニーの独壇場！？　
kaden-channel	1		いよいよ明日！JAXAが行う「みんなで皆既月食を観察しようキャンペーン」
it-life-hack	0		東山正宜と石井ゆかりが織りなすロマンテックな都会の星！GR DIGITAL IVでも撮れる秘密とは？
kaden-channel	1		クリスマスは家電をおねだり？　パナソニックが「おねだりグリーティング」キャンペーン
kaden-channel	1		USB電源で積極的に温める手袋— 上海問屋 DN-YKS-GMSF-USB
kaden-channel	1		RO浄水器がお手軽価格に！—ウォーターサーバー型浄水器コーウェイP-07CL[NEOS]
it-life-hack	0		本日のGoogleロゴは吊り輪　Googleロゴがスポーツ関連画像に変化第二弾
it-life-hack	0		来たぜ！お祭り第2弾！GIGABYTE板祭でマザボ＆グラボのレビューアーを大募集
it-life-hack	0		全米教育部門で2位！色彩感覚を育てるのにオススメのぬり絵アプリ
it-life-hack	0		検出率9割超はごくわずか！Android用アンチウイルスソフトの比較テスト
it-life-hack	0		もちろんカレー臭はしなかった！ 品質もそこそこなインド製携帯電話
kaden-channel	1		ソニープロフェッショナルセミナー〜3Dの世界
kaden-channel	1		ソフトバンクがiPhoneキャンペーンを強化「「iPhone家族無料キャンペーン」を発表
it-life-hack	0		Ultrabookに強力なライバル！女性がラクに持ち運べる、エイサーのノートPCが凄い
kaden-channel	1		iPhone5の発表に期待！　毎年恒例Apple WWDCは6月11日から開催
kaden-channel	1		iPhone型の巨大ディスプレイで展示！　アメリカ特許商標庁がスティーブジョブズ展開催
kaden-channel	1		ソニー、「ウォークマン」Ｓシリーズの「初音ミク生誕５周年記念モデル」を限定発売
kaden-channel	1		ドコモユーザー大丈夫？　あなたのケータイが今週いっぱいで使えなくなるかも
kaden-channel	1		あなたのプランは大丈夫?　定額でないためスマホ使用に超高額請求!?　
kaden-channel	1		今年のベストセラーはやっぱりジョブズの伝記！　でも日本人ってこんなにジョブズ好きだったっけ？
it-life-hack	0		復興支援ありがとう！孫社長 復興支援の協力に賞賛の声
kaden-channel	1		iPhoneに差すだけ、はんだづけ不用、3500円の空間線量計自作キット
kaden-channel	1		ミドルレンジのビデオ制作者の有志が 集まって結成したHD Usersが選んだATEM 1M/E Switcher
kaden-channel	1		11月号記事連動「音の編集講座」〜ピッチとスピード
it-life-hack	0		ステマはなくなるか？ Yahoo! JAPANと食べログが業務提携
kaden-channel	1		Huluが搭載されたWD TV Liveストリーミングメディアプレーヤー登場
kaden-channel	1		皇居ランのお供に！アディダスランベースがウォークマン無料貸し出しへ
kaden-channel	1		薄型テレビの課題を解決？　薄型テレビ用の赤べこや木彫りの熊
it-life-hack	0		世界戦略が重要なゲーム市場 E3 2012で注目の新戦略
it-life-hack	0		イベント作成や友人の紹介方法　Facebook活用のスゴ技・裏技テクニック集
it-life-hack	0		Wordで作成した表を2つに分ける便利ワザ
it-life-hack	0		旅行・出張先のホテルでネットを無線化！ポケットルーターをタダでもらおう
it-life-hack	0		Googleロゴが往年の料理研究家に！　本日のGoogleロゴは有名な料理研究家の生誕100周年記念
it-life-hack	0		夏と言えば朝顔！　小学生時代を思い起こさせるアサガオ観察日記ツイート
it-life-hack	0		今でも、後でも読めるニュースがここにある！スマホでもタブレットでも読みやすいITニュース活用法
kaden-channel	1		さんまには教えなかった「老後」について、ついにメッシが語った！
kaden-channel	1		ブラックマジックデザイン、HyperDeck SSD レコーダーに タイムコード、DNxHD QuickTime サポートを追加
it-life-hack	0		プロフィールはいつでも見てもらいたい　tumblrで別ページ作成
kaden-channel	1		1.25リットルの大容量、氷も砕くパワフルなミキサー—Cuisinart『スマートパワーブレンダー』SPB-600J
kaden-channel	1		震災特番が大コケ！　「めちゃイケ」は何を間違ったのか？
it-life-hack	0		その建物に歴史あり！　建物の名称を表わす“建て書き”写真の数々
it-life-hack	0		「ソブリン危機」をiOSで体感せよ！ 国の借金をリアルタイム表示
kaden-channel	1		ついにターミネーターの世界が現実に!? —2012年中にグーグルがサングラス型のコンピューターを発売予定
it-life-hack	0		マイクロソフトの独自タブレット「Surface」の販売体制はどうなる？ 
kaden-channel	1		外国人にも人気！　こたつのトレンドは懐かしいのに新しい山善カジュアルこたつBSK-75
kaden-channel	1		別人！　だけどかわいい！　ローラのスッピンが「いい感じ」でネットで話題に
it-life-hack	0		かなり使えるiOSの音声認識！使ってみたい新しいiPadの音声認識機能
it-life-hack	0		1日3名が11日連続で何と33名！　「SAMSUNG SSD 830シリーズ」のレビューアーを大募集
kaden-channel	1		個人情報流出か？　「au one ショッピングモール」で不正ログインとなりすまし購入が発覚
kaden-channel	1		今度の貞子はネットを使って呪いを拡散？　「リング」シリーズ最新作の構想が明らかに
it-life-hack	0		高性能なデジタル一眼が登場！キヤノン、「EOS 5D Mark III」が凄い
it-life-hack	0		ThinkPad X1 Carbonで従来のACアダプターは使えるのか？
kaden-channel	1		携帯・ラジオ・テレビより早く正確に、自分のＰＣで地震の揺れをカウントダウン—センチュリー「地震の見張り番」
kaden-channel	1		テレコムスクエアが中部国際空港にモバイルレンタル専門店「モバイルセンター」を本日オープン！「モバイルセンター羽田空港」もリニューアルし、国内主要空港でのサポートを拡充
it-life-hack	0		英語で地理が勉強できる！世界クイズアプリ！
it-life-hack	0		Galaxy Noteを1日フルに使い倒せる！2.2倍の大容量5400mAhバッテリの便利さと使い勝手
kaden-channel	1		インテリアにこだわる人へオススメ！　ソニーの美しすぎるうつぶせリモコン
kaden-channel	1		ストーリーがもりもり広がりファンにはたまらないアイテム！　「ジョジョ」のクリームがiPhoneを飲み込む！
kaden-channel	1		タイガー魔法瓶、おいしい炊き上がりの土鍋ＩＨ炊飯ジャー「炊きたて」の新製品を発売
it-life-hack	0		より強く！より最強に！ 無敵Galaxy Noteをさらに強くする
kaden-channel	1		ネットより高い！　家電が売れずに量販店の販売額が過去最大の下落
it-life-hack	0		タブレットより断然快適！一度使ったらやめられないUltrabookとDropbox
it-life-hack	0		装着場所が無いならサンバイザーだ！サンバイザーに装着するホルダー
kaden-channel	1		思ったより所持率の低いスマホ　—　関心は高いが利用者は実は約１割
